"","id","mean","sd"
"Precision for the Gaussian observations","Precision for the Gaussian observations",0.912149995005431,0.036782851567522
"Precision for Year","Precision for Year",67.6524352682758,43.8086269258173
"Precision for placeidinla","Precision for placeidinla",60.0622670123423,35.8017745464998
"Phi for placeidinla","Phi for placeidinla",0.0574406445433828,0.044250273293327
"Precision for ASSESSOR_PARID","Precision for ASSESSOR_PARID",0.663238492937559,0.0259238355866936
